CANAL,QTD_CLIENTES_UNICOS,QTD_COMPRAS,RECEITA_TOTAL,LTV_MEDIO_CLIENTE,FREQUENCIA_MEDIA,TICKET_MEDIO
LOJA FÍSICA,11080662.0,3890804.0,11864795059.01,1070.77,0.35,3049.45
APP,457390.0,1216181.0,294890602.48,644.72,2.66,242.47
TELEVENDAS,540786.0,1185175.0,276605868.19,511.49,2.19,233.39
SITE,442816.0,737427.0,169333580.82,382.4,1.67,229.63
OUTROS,668031.0,1082889.0,143378383.72,214.63,1.62,132.4
