PERFIL_OMNI,QTD_CLIENTES,QTD_VENDAS,RECEITA_TOTAL
Somente Loja Física,10388299.0,129572946.0,10507274709.19
Outros,223522.0,454162.0,39632184.64
Omni (Loja + Digital),697957.0,22935310.0,2187284927.33
Somente Canais Digitais,115331.0,283175.0,42259124.02
