MES_COHORT,MES_ATIVIDADE,MESES_DESDE_COHORT,QTD_CLIENTES_ATIVOS
2025-11-01,2026-01-01,2.0,17663.0
2025-01-01,2026-01-01,12.0,19346.0
2025-09-01,2026-01-01,4.0,16143.0
2025-02-01,2025-08-01,6.0,16099.0
2025-12-01,2026-03-01,3.0,17518.0
2025-10-01,2026-03-01,5.0,15524.0
2025-03-01,2025-06-01,3.0,18798.0
2025-02-01,2025-10-01,8.0,15775.0
2025-06-01,2025-09-01,3.0,17841.0
2026-01-01,2026-04-01,3.0,15530.0
2025-01-01,2025-11-01,10.0,18680.0
2025-03-01,2025-05-01,2.0,20681.0
2025-06-01,2025-12-01,6.0,17412.0
2025-01-01,2026-03-01,14.0,18797.0
2025-12-01,2026-05-01,5.0,2588.0
2025-02-01,2025-12-01,10.0,16763.0
2025-02-01,2026-02-01,12.0,15233.0
