CANAL,QTD_CLIENTES,QTD_VENDAS,RECEITA_TOTAL
APP,457348.0,1992240.0,294838688.34
LOJA FÍSICA,11080082.0,146408680.0,11862143522.32
OUTROS,667796.0,1774948.0,143324769.32999998
SITE,442771.0,982181.0,169301090.03
TELEVENDAS,540742.0,1769736.0,276548539.13
