MES_REFERENCIA,PERIODO,CANAL,QTD_NOVOS_CLIENTES,RECEITA_NO_MES_AQUISICAO,TICKET_MEDIO_NOVOS,FREQ_NO_MES_AQUISICAO
2025-01-01,Jan/2025,APP,1244.0,164143.36,131.95,1.2
2025-01-01,Jan/2025,LOJA FÍSICA,111827.0,10522316.89,94.09,1.05
2025-01-01,Jan/2025,OUTROS,6816.0,569537.68,83.56,1.09
2025-01-01,Jan/2025,SITE,2921.0,437658.49,149.83,1.09
2025-01-01,Jan/2025,TELEVENDAS,1550.0,209166.02,134.95,1.09
2025-02-01,Feb/2025,APP,1016.0,146408.95,144.1,1.25
2025-02-01,Feb/2025,LOJA FÍSICA,91202.0,8704763.65,95.44,1.12
2025-02-01,Feb/2025,OUTROS,5965.0,501217.32,84.03,1.1
2025-02-01,Feb/2025,SITE,2679.0,527155.86,196.77,1.07
2025-02-01,Feb/2025,TELEVENDAS,1445.0,188106.64,130.18,1.17
